dt;co;no;no2;o3;so2;pm2_5;pm_10;nh3;aqi
1759374000.0;90.55;0.0;0.64;59.8;0.45;10.32;28.32;0.17;2.0
1759377600.0;91.05;0.0;0.58;59.85;0.48;10.59;28.18;0.17;2.0
1759381200.0;91.9;0.0;0.51;60.8;0.51;10.87;27.89;0.17;2.0
1759384800.0;93.63;0.0;0.45;63.01;0.53;11.27;28.13;0.17;2.0
1759388400.0;95.88;0.0;0.42;65.91;0.53;11.68;28.16;0.17;2.0
1759392000.0;96.8;0.0;0.4;66.38;0.5;11.83;27.36;0.19;2.0
1759395600.0;96.96;0.0;0.42;65.86;0.47;11.84;26.46;0.2;2.0
1759399200.0;98.07;0.0;0.53;65.51;0.48;11.88;25.32;0.23;2.0
1759402800.0;100.28;0.0;0.71;65.95;0.49;11.94;23.85;0.24;2.0
1759406400.0;102.63;0.01;0.78;67.32;0.48;12.01;22.49;0.26;2.0
1759410000.0;105.17;0.01;0.78;68.62;0.49;12.12;21.02;0.28;2.0
1759413600.0;107.44;0.01;0.79;69.14;0.49;12.16;19.7;0.3;2.0
1759417200.0;109.39;0.02;0.75;70.25;0.5;12.06;18.66;0.31;2.0
1759420800.0;111.75;0.03;0.62;74.13;0.5;11.9;18.21;0.32;2.0
1759424400.0;112.56;0.02;0.57;75.28;0.51;11.51;18.21;0.31;2.0
1759428000.0;112.34;0.02;0.55;75.07;0.53;10.9;18.37;0.31;2.0
1759431600.0;111.12;0.01;0.57;74.56;0.56;10.15;18.54;0.32;2.0
1759435200.0;110.2;0.0;0.64;74.11;0.61;9.87;19.67;0.32;2.0
1759438800.0;110.43;0.0;0.72;74.86;0.69;10.24;21.64;0.33;2.0
1759442400.0;110.7;0.0;0.74;76.74;0.79;10.96;23.21;0.32;2.0
1759446000.0;110.25;0.0;0.73;78.11;0.85;11.43;23.4;0.29;2.0
1759449600.0;107.83;0.0;0.72;77.4;0.85;11.18;22.13;0.25;2.0
1759453200.0;103.21;0.0;0.72;74.04;0.81;9.98;18.77;0.22;2.0
